number	annpre_mean	coeff_var		
2678	15.00	25.00		
2431	15.00	13.00		
2432	15.00	17.00		
2512	15.00	22.00		
2513	15.00	23.00		
2514	15.00	18.00		
2594	15.00	28.00		
2596	15.00	23.00		
2597	15.00	20.00		
2677	15.00	38.00		
2679	15.00	19.00		
2680	15.00	28.00		
2760	15.00	34.00		
2761	15.00	25.00		
2844	15.00	26.00		
2349	15.00	14.00		
2762	15.00	21.00		
2515	15.00	13.00		
2266	15.00	14.00		
2511	15.00	28.00		
2598	15.00	13.00		
2676	15.00	32.00		
2763	15.00	28.00		
2845	15.00	22.00		
2846	15.00	29.00		
2430	15.00	17.00		
2348	15.00	13.00		
2759	15.00	34.00		
2927	15.00	24.00		
2928	15.00	22.00		
1270	15.00	16.00		
2183	15.00	14.00		
2593	15.00	32.00		
2681	15.00	17.00		
2843	15.00	36.00		
2926	15.00	36.00		
2100	15.00	19.00		
2350	15.00	15.00		
3010	15.00	12.00		
1353	15.00	16.00		
2842	15.00	34.00		
1519	15.00	21.00		
1269	25.00	6.00		
1352	25.00	12.00		
1436	25.00	18.00		
2265	25.00	23.00		
2267	25.00	11.00		
2433	25.00	15.00
2595	25.00	20.00
2764	25.00	19.00
3254	25.00	27.00
2184	25.00	18.00
1186	25.00	18.00
1187	25.00	20.00
1435	25.00	12.00
2018	25.00	14.00
2929	25.00	17.00
3011	25.00	19.00
21	25.00	18.00
914	25.00	11.00
938	25.00	15.00
997	25.00	3.00
998	25.00	20.00
1021	25.00	15.00
1022	25.00	29.00
1080	25.00	4.00
1081	25.00	20.00
1104	25.00	20.00
1163	25.00	11.00
1246	25.00	11.00
1329	25.00	22.00
1330	25.00	13.00
1354	25.00	23.00
1412	25.00	28.00
1413	25.00	13.00
1495	25.00	13.00
1496	25.00	11.00
1497	25.00	17.00
1520	25.00	17.00
1578	25.00	13.00
1579	25.00	6.00
1580	25.00	17.00
1602	25.00	6.00
1661	25.00	23.00
1662	25.00	4.00
1663	25.00	18.00
1685	25.00	6.00
1744	25.00	4.00
1745	25.00	4.00
1746	25.00	22.00
1827	25.00	5.00
1828	25.00	7.00
1910	25.00	5.00
1911	25.00	10.00
1935	25.00	2.00
2017	25.00	11.00
2847	25.00	18.00
2925	25.00	32.00
3009	25.00	40.00
3012	25.00	9.00
3093	25.00	12.00
3094	25.00	8.00
