ID	GRIDCODE	SPECIES	ALTITUDE	TEST	MAX4	MAX3	vegindmin	vegindmax	vegindrange	vegindmean	vegindstd	pca1min	pca1max	pca1range	pca1mean	pca1std	pca2min	pca2max	pca2range	pca2mean	pca2std	pca3min	pca3max	pca3range	pca3mean	pca3std	tc1min	tc2min	tc1range	tc1mean	tc1std	tc2min	tc2max	tc2range	tc2mean	tc2std	tc3min	tc3max	tc3range	tc3mean	tc3std	ndvimin	ndvimax	ndvirange	ndvimean	ndvistd	irmin	irmax	irrange	irmean	irstd	srtmmin	srtmmax	srtmrange	srtmmean	srtmstd
1	100	27	61	1	114	26	34	93	59	68.1892	12.3219	131.207	198.983	67.7757	167.429	13.1056	-69.3149	-41.8396	27.4753	-55.6346	7.336	58.4029	95.43	37.0271	72.7616	7.33835	94	159	65	129.973	12.4781	6	48	42	30.1892	9.07577	-17	6	23	-3.75676	5.36458	0.485714	0.688889	0.203175	0.619177	0.0570074	2.88889	5.42857	2.53968	4.36106	0.735947	87	5	84.6667	2.0548	4.81534
28	2800	21	44	2	123	32	34	92	58	51.9231	12.9464	102.249	162.49	60.2416	119.384	13.6871	-73.0184	-41.5884	31.43	-51.2874	7.09832	51.1722	80.8214	29.6492	70.2906	6.39057	75	134	59	91.9487	13.056	10	51	41	22.4103	9.18951	2	12	10	7.69231	2.67135	0.566667	0.7	0.133333	0.635464	0.0349435	3.61538	5.66667	2.05128	4.53728	0.533381	2882	41	2859	16.171	6.64737
27	2700	46	74	3	103	20	33	83	50	61.3947	10.0329	100.45	142.591	42.1406	126.018	8.73478	-69.3972	-41.835	27.5622	-57.465	5.55639	56.8723	81.1449	24.2725	66.7744	4.97412	73	115	42	98.6316	8.58218	9	44	35	29.2368	7.09126	4	13	9	10.2368	2.10806	0.578947	0.747748	0.1688	0.670875	0.0325386	3.75	6.92857	3.17857	5.13548	0.601314	2762	15	2753.25	5.62917	2.54951
2	200	21	56	4	109	21	31	97	66	57.5	15.0333	122.797	216.02	93.2237	160.685	25.2038	-66.9546	-36.8118	30.1428	-48.9762	6.58898	54.3753	96.916	42.5407	78.1508	10.8597	87	174	87	122.725	23.3923	4	49	45	22.125	10.2888	-25	4	29	-6.45	8.58181	0.490196	0.663717	0.173521	0.582653	0.0463981	2.92308	4.94737	2.02429	3.85183	0.53991	185	30	169.75	12.1937	12.1937
3	300	28	80	5	100	22	39	84	45	62.973	12.1444	122.405	171.962	49.5571	149.385	12.971	-67.4596	-45.1665	22.2931	-56.6995	5.67193	65.1788	94.4865	29.3077	78.5393	7.5805	87	136	49	113.973	12.6373	9	43	34	26.8919	8.76043	-3	7	10	3.13514	2.19535	0.555556	0.706422	0.150866	0.645496	0.0366996	3.5	5.8125	2.3125	4.69876	0.554862	303	22	290.25	8.3479	8.3479
4	400	29	70	6	97	20	11	89	78	47.2051	20.6139	89.8294	173.343	83.5134	132.324	22.8359	-69.8371	-32.9936	36.8435	-49.1358	9.39317	63.2395	108.489	45.2499	85.4297	12.3859	58	139	81	98.359	21.9317	-11	45	56	16	14.7474	-4	13	17	4.12821	3.64572	0.314286	0.689922	0.375637	0.566172	0.0929725	1.91667	5.45	3.53333	3.80435	0.930423	493	31	474.25	11.4319	10.3709
5	500	28	80	7	90	20	31	82	51	61.75	14.367	113.362	173.348	59.9858	147.127	15.6629	-66.2701	-41.1815	25.0887	-55.9211	6.80724	64.6617	95.9317	31.27	77.4823	8.68776	80	137	57	112.111	15.2839	5	41	36	26.5	10.1803	-4	9	13	2.27778	3.37154	0.54386	0.704348	0.160488	0.644056	0.0402352	3.38462	5.76471	2.38009	4.68724	0.609599	603	26	592.25	9.62743	9.62743
6	600	39	90	8	90	19	39	78	39	59.1842	9.26185	122.398	158.419	36.0216	141.454	8.62938	-66.3973	-46.2918	20.1055	-55.9895	4.90246	68.3321	90.1542	21.8222	79.0287	5.18077	89	125	36	107.763	8.85983	11	38	27	24.9211	6.579	2	10	8	5.78947	2.4619	0.565217	0.69697	0.131752	0.634285	0.0258319	3.6	5.6	2	4.49653	0.395668	737	14	730	6.08276	6.08276
7	700	38	90	9	87	18	40	74	34	56.075	7.40739	124.559	152.788	28.2289	138.128	7.38413	-65.4751	-44.6262	20.8489	-54.3895	3.97099	72.3057	88.3879	16.0822	80.2141	3.93935	90	118	28	104.55	7.2593	11	36	25	22.825	5.33801	0	11	11	5.475	2.45955	0.573333	0.698113	0.12478	0.626821	0.0260648	3.6875	5.625	1.9375	4.38627	0.387263	806	10	799.5	3.90512	4.18994
8	800	41	93	10	82	20	30	72	42	52.8974	10.691	115.901	155.356	39.4557	135.293	11.1268	-61.094	-40.4898	20.6041	-52.594	5.30696	70.298	92.6458	22.3478	81.4231	6.24099	84	121	37	102.128	10.8608	5	34	29	20.4872	7.52388	0	12	12	5.71795	3.02933	0.483871	0.670103	0.186232	0.607963	0.0360809	2.875	5.0625	2.1875	4.14197	0.443161	887	22	878.75	8.84237	8.84237
