RECNO	POINTNO	LON_EX	LAT_EX	ALT_EX	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE	BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19	ID
1	1	-2.0254	38.8439	751.0000	0.9000	1.5000	3.7000	6.1000	9.2000	13.3000	16.5000	16.3000	13.4000	8.7000	4.5000	2.0000	10.7000	12.3000	15.3000	17.9000	21.3000	27.0000	31.5000	30.9000	26.9000	20.6000	15.1000	11.3000	28	30	35	53	46	34	10	14	29	45	40	34	398	14.0375	12.0583	39.4063	662.8695	31.5000	0.9000	30.6000	12.2500	22.5833	22.5833	6.4500	398.0000	53.0000	10.0000	37.5667	134.0000	53.0000	58.0000	92.0000	0
2	2	-1.7313	41.3928	737.0000	-1.0000	-0.2000	2.5000	4.8000	8.4000	12.0000	14.4000	14.2000	11.9000	6.8000	2.6000	0.5000	7.1000	9.4000	13.2000	15.7000	19.3000	24.3000	27.5000	27.0000	24.0000	17.5000	12.1000	8.6000	27	26	34	35	61	51	23	25	39	39	30	39	429	11.7750	10.7333	37.6608	648.3528	27.5000	-1.0000	28.5000	14.0833	5.1667	19.9000	4.0667	429.0000	61.0000	23.0000	31.4240	147.0000	87.0000	99.0000	92.0000	0
3	3	32.1883	47.2748	68.0000	-6.8000	-5.8000	-2.3000	4.9000	11.0000	15.0000	17.0000	16.2000	11.1000	5.3000	0.3000	-3.2000	-0.8000	0.1000	4.6000	13.8000	20.8000	25.4000	27.7000	27.1000	21.5000	14.0000	6.5000	2.1000	34	34	28	33	43	56	57	39	41	25	35	40	465	9.3958	8.3417	24.1787	977.7978	27.7000	-6.8000	34.5000	19.4833	2.5500	21.4000	-2.4000	465.0000	57.0000	25.0000	25.2401	156.0000	95.0000	152.0000	108.0000	0
4	4	20.0321	44.0397	656.0000	-5.0000	-3.0000	0.1000	3.6000	8.2000	11.5000	13.0000	12.8000	9.6000	5.7000	0.9000	-2.6000	1.7000	4.4000	9.6000	13.5000	18.3000	21.7000	23.8000	24.0000	20.5000	15.4000	8.0000	3.4000	60	54	55	68	95	98	87	68	68	63	74	71	861	9.1292	9.1250	31.4655	729.7243	24.0000	-5.0000	29.0000	16.0833	1.3000	17.8000	-0.1833	861.0000	98.0000	54.0000	20.2418	280.0000	169.0000	253.0000	185.0000	0
5	5	35.2273	50.2158	166.0000	-10.1000	-9.4000	-4.4000	3.5000	9.5000	13.1000	14.7000	13.6000	8.6000	2.9000	-2.2000	-6.5000	-3.8000	-3.0000	2.3000	12.8000	20.3000	23.7000	25.3000	24.7000	18.9000	11.3000	3.3000	-1.2000	45	34	34	40	50	66	70	52	49	43	46	47	576	6.9958	8.4417	23.8465	1021.9666	25.3000	-10.1000	35.4000	19.1833	0.3000	19.1833	-5.6667	576.0000	70.0000	34.0000	22.8563	188.0000	108.0000	188.0000	126.0000	0
6	6	39.9329	52.2745	146.0000	-12.9000	-12.7000	-6.7000	2.7000	8.9000	12.6000	14.2000	13.0000	8.0000	2.1000	-3.8000	-8.7000	-5.9000	-5.2000	0.2000	12.2000	20.6000	24.4000	25.7000	24.7000	18.5000	9.8000	1.7000	-2.8000	37	28	27	35	45	61	74	52	50	43	47	45	544	5.8583	8.9333	23.1434	1120.4521	25.7000	-12.9000	38.6000	19.1000	-1.5833	19.1000	-8.0333	544.0000	74.0000	27.0000	29.4051	187.0000	90.0000	187.0000	110.0000	0
7	7	44.8345	53.0587	182.0000	-15.0000	-14.9000	-8.9000	1.4000	8.2000	12.5000	14.5000	12.9000	7.4000	1.3000	-5.4000	-10.8000	-7.9000	-7.2000	-1.6000	10.8000	19.9000	24.1000	25.6000	24.3000	17.5000	8.4000	-0.1000	-4.9000	39	25	26	35	37	61	68	53	51	49	46	40	530	4.6708	8.8083	21.6954	1200.0539	25.6000	-15.0000	40.6000	18.9833	-3.4000	18.9833	-10.1167	530.0000	68.0000	25.0000	29.5971	182.0000	86.0000	182.0000	104.0000	0
8	8	44.6385	51.0981	182.0000	-14.3000	-14.3000	-8.1000	2.4000	9.0000	13.2000	15.2000	13.8000	8.2000	1.9000	-4.6000	-9.9000	-7.1000	-6.3000	-0.6000	12.4000	21.2000	25.5000	27.3000	26.1000	19.3000	9.9000	1.1000	-4.0000	35	24	22	30	35	52	49	44	42	34	42	37	446	5.7208	9.3583	22.4960	1216.8373	27.3000	-14.3000	41.6000	20.1833	-2.4167	20.1833	-9.3167	446.0000	52.0000	22.0000	24.7085	145.0000	76.0000	145.0000	96.0000	0
9	9	42.2857	43.8436	1670.0000	-9.5000	-9.3000	-5.8000	-1.9000	2.6000	5.4000	8.0000	8.0000	4.1000	0.5000	-3.3000	-7.1000	-0.8000	-0.7000	3.3000	9.3000	14.3000	17.6000	20.5000	20.6000	16.9000	11.6000	5.1000	1.2000	24	24	34	68	109	131	110	92	72	49	40	34	787	4.6083	10.6000	35.2159	725.8250	20.6000	-9.5000	30.1000	11.4000	-3.8000	13.3500	-4.3667	787.0000	131.0000	24.0000	56.8012	350.0000	82.0000	333.0000	82.0000	0
10	10	34.1489	45.4121	63.0000	-0.8000	-0.7000	0.7000	5.6000	10.3000	14.6000	17.2000	16.8000	12.6000	7.7000	4.3000	1.8000	5.8000	6.2000	8.8000	15.6000	20.9000	25.5000	28.6000	28.4000	23.7000	17.4000	11.7000	8.1000	58	48	39	32	38	49	40	35	37	32	49	71	528	12.1167	9.2167	31.3492	764.5151	28.6000	-0.8000	29.4000	5.1500	17.7667	21.8500	3.3333	528.0000	71.0000	32.0000	26.4156	178.0000	104.0000	124.0000	145.0000	0
