Region	Altitude	LitterC	Grazing	Tree	incl	baresoil	VegC	Seedl
con	1823	80	0	2	10	0	30	0
san	2115	10	0	2	40	0	30	1
con	2071	5	0	10	20	90	10	0
gig	2184	20	1	1.8	30	1	55	0
gig	1995	1	1	4	30	15	75	1
gig	2205	0.1	1	16.8	10	1	99	0
con	1864	90	1	20	5	0	40	0
con	1774	50	0	2	40	0	95	0
con	2029	30	0	2	15	0	70	0
san	1857	25	0	8	20	10	50	0
con	2123	40	1	22	5	1	60	0
san	2109	90	0	1	10	0	50	0
san	1815	5	0	2	20	2	50	0
san	2120	80	0	0.2	20	0	60	0
gig	2274	0.1	1	15	80	0.1	10	1
gig	2201	90	0	2.1	15	0	30	0
con	2065	5	1	20	30	0	20	0
gig	2270	30	1	3	40	0	50	0
gig	2235	1	1	25	20	50	50	0
con	1830	40	0	1	10	20	60	1
gig	2166	2	1	5.3	20	3	40	0
gig	2320	10	1	0	30	50	50	0
san	2125	10	0	20	20	0	20	0
gig	2240	5	1	2.8	30	1	50	1
gig	2255	1	1	15	25	70	30	0
gig	1853	10	1	4	20	1	35	0
con	1808	1	0	20	30	5	45	0
con	1895	1	1	1.5	40	70	40	1
gig	2338	0.1	1	30	20	1	2	0
san	2098	20	0	2	10	5	40	0
san	1854	1	0	14	10	0	88	0
san	2140	20	0	0.5	30	0	90	0
con	1875	20	0	1	40	0	90	1
con	2120	1	1	30	20	70	30	0
san	1991	30	0	0	30	10	60	0
con	2133	0.1	1	8	10	0.5	85	0
gig	2002	0.5	1	5	40	15	50	0
con	1785	90	0	1	30	0	80	0
con	2051	30	0	4	20	15	70	1
gig	2159	1	1	1.1	20	1	99	0
gig	1822	1	1	20	30	10	80	0
san	2123	0.1	0	10	20	2	10	0
gig	2156	4	1	30	10	1	95	0
con	2138	2	1	10	20	1	60	0
gig	2166	25	1	8	30	5	70	0
con	1865	95	1	3	20	2	40	0
con	2144	1	1	21	5	15	20	0
gig	1835	5	1	0	0	50	50	1
con	1780	20	0	0.5	80	0	80	0
san	1856	1	0	10	10	1	98	0
con	1904	30	0	1	30	1	70	1
gig	2155	1	1	8	10	25	60	0
san	1864	30	0	1	30	0	85	0
san	1858	5	0	22	20	5	90	0
con	2071	10	1	10	10	0	95	0
gig	1831	1	1	1	45	75	30	1
gig	2259	50	1	4.1	30	1	90	0
gig	2204	60	0	8.6	65	0	50	0
gig	2305	1	1	22	20	1	99	0
con	2070	30	0	23	20	20	80	0
con	2021	40	0	2.36	15	0	80	1
san	2119	30	0	3	10	0	70	0
san	2021	90	0	0.7	10	1	60	0
san	2041	20	0	5	10	1	80	0
san	1830	0.5	0	4	30	45	5	0
gig	2019	5	1	4.8	35	8	90	0
gig	2330	0	1	42	30	0	0	0
san	2034	90	0	0.5	20	0.5	70	0
con	1915	50	0	0.6	50	0	95	1
gig	1900	10	1	8	30	1	70	0
san	1803	15	0	2	30	0	85	0
con	1798	40	0	0.1	60	0	70	1
gig	2068	20	1	0	45	30	50	0
san	1824	0.1	0	2	10	55	3	0
con	2080	90	0	1	10	10	60	1
gig	1995	80	1	2	10	0	60	1
gig	2169	3	1	0.15	20	2	95	0
con	2072	70	0	15	10	0	80	0
con	1816	20	0	1	30	1	80	1
gig	1796	1	1	20	40	10	80	0
con	1817	15	0	1	80	0	15	0
con	1812	40	0	5	40	0	50	0
gig	2172	0.1	1	12	20	0	30	0
con	2122	0.5	1	40	0	15	80	0
con	2076	40	0	10	10	0	80	0
san	2087	50	0	2.5	10	1	50	0
gig	2182	10	1	0	5	0	50	0
gig	2255	1	1	30	0	90	40	0
con	1830	1	0	4	20	5	50	0
san	2124	1	0	22	20	10	20	0
con	2043	40	0	1.3	2	0.1	30	1
con	1806	50	0	1	30	1	60	0
con	1868	3	1	10	40	80	15	0
san	1849	50	0	0.5	10	0	70	0
gig	2244	1	1	23	10	80	60	0
gig	2148	10	1	2.8	45	10	60	0
gig	1792	10	1	27	20	50	50	0
san	1856	70	0	2	40	0	50	0
con	2107	1	1	10	10	5	40	0
con	2042	80	0	1.24	40	1	60	1
gig	1805	60	0	2	45	0	80	1
