Region	Altitude	LitterC	Grazing	Tree	incl	baresoil	VegC	Seedl
gig	2171	10	0	5	30	0	20	0
gig	2100	40	1	1	40	0	90	0
gig	1855	25	0	23	40	10	60	0
con	2051	10	0	12	20	0	40	1
con	2147	10	1	20	10	1	90	0
gig	1853	60	0	1	45	3	70	1
con	2137	20	1	5	30	5	60	1
con	2109	20	0	0	45	10	80	0
san	1875	0.5	0	4	40	1	10	0
con	2113	40	1	15	30	10	50	0
con	2076	15	0	3	30	0	40	0
san	2142	50	0	1	30	0	80	1
gig	2307	1	1	40	10	0.1	99	0
con	1819	20	0	4	20	0	90	0
san	2125	10	1	5	20	40	60	0
san	1999	90	0	2.5	30	0	80	1
con	2051	15	1	0.1	5	35	50	1
san	2091	70	0	12	5	0	30	0
gig	2333	0.5	1	22.5	20	5	25	0
san	2120	20	1	6	30	25	70	0
san	2128	30	0	1	10	20	70	0
con	2104	2	1	0.9	5	50	90	1
con	1861	90	1	2	40	0	75	1
san	1822	15	0	20	20	15	70	0
con	1815	10	0	1	10	45	50	0
con	2035	20	0	3	20	0	100	0
san	1823	5	0	0.5	10	5	50	1
gig	2099	5	0	30	40	0	5	0
con	1798	0.1	0	2	50	0	2	0
san	1863	10	0	14	20	0	80	0
san	2118	1	0	2	10	1	50	0
con	1805	20	0	15	40	2	75	0
gig	2183	40	1	45	40	1	40	0
san	2107	40	0	0.5	40	0	90	1
san	2131	30	1	0.2	5	5	95	0
con	2078	5	1	1.8	20	0	10	1
gig	2168	5	0	1.7	40	3	20	1
gig	2255	0.1	1	15	10	1	6	0
con	1826	25	0	0.6	10	0	90	0
san	2041	1	0	3	20	5	35	1
san	1820	40	0	0.5	20	10	50	0
gig	1791	0.5	1	9	20	40	15	0
san	1883	15	0	2	40	20	0.1	0
gig	2004	10	1	1.7	40	6	45	0
con	1824	5	0	1	30	50	40	0
san	2147	20	1	0.2	10	15	65	0
gig	2284	10	1	4	10	1	40	0
san	1821	10	0	20	20	20	50	0
con	1748	30	0	0.1	20	10	60	1
gig	2298	1	1	10	30	1	99	0
san	2086	0.1	0	3	30	0.1	10	0
con	1879	1	1	2	45	0	90	0
san	2006	30	0	1	10	0.1	50	0
san	2111	1	0	20	30	0	70	0
con	1808	0.1	0	1	30	0	20	0
san	1998	20	0	1	10	0	80	1
gig	2170	1	1	27	30	10	70	0
san	2069	30	0	2	40	0	70	1
san	1826	1	0	2	10	20	70	0
gig	1886	1	1	22	60	0	70	0
gig	1849	70	0	0.5	40	1	80	1
san	1893	15	0	2	30	5	80	0
san	2024	30	0	2	50	5	60	1
con	1776	50	0	0	10	10	80	1
gig	1869	10	1	6	45	0	30	0
gig	2262	1	1	25	20	25	75	0
san	2083	10	0	1	10	60	30	0
con	1907	40	0	1	40	0	60	1
