plots	anabasis	caragana	desert-shrub	haloxylon	mountain-shrub	mountain-steppe	steppe	salt
1	10.08	12.64	5.64	6.29	18.64	14.42	10.19	7.48
2	16.37	21.66	10.35	10.2	32.87	23.84	17.28	13.38
3	21.61	29.06	14.39	13.57	44.96	31.19	23.13	18.79
4	26.11	35.35	17.94	16.59	55.53	37.27	28.17	23.79
5	30.06	40.83	21.11	19.33	64.97	42.48	32.63	28.45
6	33.57	45.68	24	21.84	73.49	47.05	36.64	32.8
7	36.74	50.02	26.65	24.16	81.28	51.13	40.29	36.89
8	39.62	53.97	29.11	26.32	88.45	54.83	43.65	40.76
9	42.28	57.57	31.42	28.34	95.09	58.2	46.75	44.43
10	44.73	60.9	33.59	30.23	101.29	61.31	49.64	47.91
11	47.02	63.98	35.64	32.01	107.09	64.21	52.33	51.24
12	49.17	66.85	37.58	33.69	112.55	66.91	54.86	54.41
13	51.2	69.53	39.44	35.29	117.7	69.44	57.23	57.46
14	53.11	72.06	41.21	36.8	122.58	71.83	59.47	60.38
15	54.93	74.44	42.91	38.25	127.21	74.09	61.59	63.18
16	56.66	76.69	44.54	39.63	131.62	76.24	63.6	65.88
17	58.31	78.83	46.11	40.95	135.83	78.28	65.52	68.49
18	59.89	80.86	47.61	42.22	139.86	80.23	67.34	71
19	61.41	82.8	49.07	43.43	143.71	82.09	69.08	73.43
20	62.87	84.65	50.48	44.6	147.41	83.88	70.75	75.78
21	64.28	86.42	51.84	45.73	150.97	85.59	72.35	78.05
22	65.64	88.12	53.15	46.82	154.4	87.25	73.88	80.26
23	66.95	89.75	54.43	47.88	157.7	88.84	75.36	82.39
24	68.21	91.32	55.67	48.9	160.88	90.37	76.78	84.47
25	69.44	92.83	56.87	49.89	163.96	91.86	78.15	86.48
26	70.63	94.29	58.04	50.85	166.94	93.29	79.48	88.44
27	71.78	95.7	59.18	51.79	169.82	94.69	80.77	90.35
28	72.91	97.06	60.28	52.7	172.62	96.04	82.01	92.2
29	74	98.37	61.36	53.58	175.33	97.35	83.21	94.01
30	75.06	99.65	62.42	54.45	177.96	98.62	84.38	95.77
31	76.09	100.88	63.44	55.29	180.51	99.86	85.52	97.48
32	77.1	102.08	64.44	56.11	183	101.07	86.62	99.16
33	78.09	103.25	65.42	56.91	185.42	102.25	87.7	100.79
34	79.05	104.38	66.38	57.7	187.77	103.4	88.75	102.39
35	79.99	105.47	67.32	58.46	190.06	104.52	89.77	103.95
36	80.9	106.54	68.23	59.22	192.29	105.62	90.76	105.47
37	81.8	107.58	69.13	59.95	194.47	106.69	91.73	106.96
38	82.68	108.6	70.01	60.67	196.6	107.73	92.68	108.42
39	83.54	109.59	70.87	61.38	198.67	108.76	93.61	109.85
40	84.39	110.55	71.72	62.07	200.7	109.76	94.51	111.25
41	85.21	111.49	72.54	62.75	202.67	110.75	95.4	112.62
42	86.02	112.41	73.36	63.42	204.61	111.71	96.26	113.97
43	86.82	113.31	74.16	64.08	206.5	112.66	97.11	115.29
44	87.6	114.19	74.94	64.72	208.35	113.59	97.94	116.58
45	88.37	115.04	75.71	65.36	210.16	114.5	98.76	117.85
46	89.12	115.88	76.47	65.98	211.93	115.39	99.55	119.09
47	89.86	116.71	77.22	66.59	213.67	116.27	100.34	120.32
48	90.59	117.51	77.95	67.2	215.37	117.14	101.11	121.52
49	91.31	118.3	78.67	67.79	217.03	117.99	101.86	122.7
50	92.01	119.07	79.38	68.37	218.66	118.82	102.6	123.86
51	92.71	119.83	80.08	68.95	220.26	119.64	103.33	125
52	93.39	120.57	80.77	69.52	221.83	120.45	104.04	126.13
53	94.06	121.3	81.45	70.08	223.37	121.25	104.75	127.23
54	94.73	122.01	82.12	70.63	224.89	122.03	105.44	128.32
55	95.38	122.72	82.78	71.17	226.37	122.81	106.12	129.39
56	96.02	123.41	83.43	71.71	227.83	123.57	106.79	130.45
57	96.66	124.08	84.07	72.24	229.26	124.32	107.45	131.48
58	97.28	124.75	84.7	72.76	230.66	125.06	108.1	132.51
59	97.9	125.41	85.33	73.28	232.04	125.79	108.74	133.52
60	98.51	126.05	85.95	73.79	233.4	126.51	109.37	134.51
61	99.11	126.68	86.56	74.29	234.74	127.22	109.99	135.49
62	99.7	127.31	87.16	74.79	236.05	127.92	110.61	136.45
63	100.29	127.92	87.75	75.28	237.34	128.61	111.22	137.41
64	100.86	128.52	88.34	75.77	238.61	129.29	111.86	138.35
65	101.44	129.12	88.92	76.25	239.86	129.96	112.41	139.28
66	102	129.7	89.49	76.72	241.09	130.63	112.99	140.19
67	102.55	130.28	90.06	77.19	242.3	131.28	113.57	141.09
68	103.1	130.85	90.62	77.66	243.49	131.93	114.14	141.99
69	103.65	131.41	91.17	78.11	244.66	132.57	114.7	142.87
70	104.18	131.96	91.72	78.57	245.81	133.21	115.26	143.74
71	104.71	132.51	92.26	79.02	246.95	133.83	115.81	144.6
72	105.24	133.05	92.8	79.46	248.07	134.45	116.35	145.45
73	105.76	133.58	93.33	79.9	249.18	135.06	116.89	146.28
74	106.27	134.1	93.86	80.34	250.26	135.67	117.43	147.11
75	106.78	134.62	94.38	80.77	251.34	136.26	117.96	147.93
76	107.28	135.13	94.89	81.2	252.39	136.85	118.48	148.74
77	107.77	135.63	95.4	81.62	253.44	137.44	119	149.54
78	108.26	136.13	95.9	82.04	254.47	138.02	NA	150.34
79	108.75	136.62	96.4	82.45	255.48	138.59	NA	151.12
80	109.23	137.11	96.9	82.87	256.48	139.16	NA	151.89
81	109.7	137.58	97.39	83.27	257.47	139.72	NA	152.66
82	110.17	138.06	97.87	83.68	258.44	140.27	NA	153.42
83	110.64	138.53	98.35	84.08	259.4	140.82	NA	154.17
84	111.1	138.99	98.83	84.47	260.35	141.36	NA	154.91
85	111.56	139.45	99.3	84.87	261.29	141.9	NA	155.65
86	112.01	139.9	99.77	85.26	262.21	142.44	NA	156.37
87	112.46	140.35	100.23	85.65	263.12	142.96	NA	157.09
88	112.9	140.79	100.69	86.03	264.03	143.49	NA	157.81
89	113.34	141.23	101.15	86.41	264.92	144	NA	158.51
90	113.77	141.66	101.6	86.79	265.8	144.52	NA	159.21
