MASTER	LON_EX	LAT_EX	ALT_EX	alt_srtm	TMIN1	TMIN2	TMIN3	TMIN4	TMIN5	TMIN6	TMIN7	TMIN8	TMIN9	TMIN10	TMIN11	TMIN12	TMAX1	TMAX2	TMAX3	TMAX4	TMAX5	TMAX6	TMAX7	TMAX8	TMAX9	TMAX10	TMAX11	TMAX12	PREC1	PREC2	PREC3	PREC4	PREC5	PREC6	PREC7	PREC8	PREC9	PREC10	PREC11	PREC12	PRE_ALL	SPECIES	SHORTLIVED	PERENIAL	ANNUAL	BIENNIAL	HSCAP	HROS	GEOPHYTES	HCAESP	CHAMAEPHYT	NANOPHANOR	MAKROPHANE	OID_	MASTER_1	COUNT	ggs	ggb	gga	sg	MEAN	PRO	comm_coarse	Comm	slope	aspect	slope_srtm	aspect_srtm	sin_srtm	pro
1	104.0600	43.2900	1722	1765	-21.2000	-17.8000	-10.3000	-1.8000	5.9000	11.5000	13.9000	12.3000	5.9000	-2.5000	-11.8000	-18.6000	-7.9000	-4.1000	3.4000	12.4000	20.2000	25.2000	26.6000	25.0000	19.1000	11.1000	1.1000	-6.0000	1	2	3	6	12	21	34	33	13	4	2	1	132	17	0	8	0	0	4	1	0	2	1	8	0	0	1	1	1	0	0	0	433.89199829102	247.00000000000	1	1	1.5672	183.7720	15.0448	186.4110	-0.8709	70.04450000000
2	104.0200	43.3400	2041	1957	-22.2000	-19.0000	-11.9000	-3.5000	4.2000	9.9000	12.2000	10.7000	4.3000	-4.0000	-13.2000	-19.7000	-9.1000	-5.5000	1.6000	10.4000	18.1000	23.2000	24.6000	23.0000	17.1000	9.3000	-0.4000	-7.2000	1	2	4	7	14	25	41	39	15	5	3	1	157	19	1	10	1	0	5	2	1	2	0	8	0	1	2	1	1	0	0	0	373.35900878906	389.00000000000	1	1	3.2805	188.4270	29.3983	186.5760	-0.9398	61.54370000000
3	104.0200	43.3400	2041	1957	-22.2000	-19.0000	-11.9000	-3.5000	4.2000	9.9000	12.2000	10.7000	4.3000	-4.0000	-13.2000	-19.7000	-9.1000	-5.5000	1.6000	10.4000	18.1000	23.2000	24.6000	23.0000	17.1000	9.3000	-0.4000	-7.2000	1	2	4	7	14	25	41	39	15	5	3	1	157	20	0	10	0	0	4	2	0	2	3	9	0	2	3	1	1	0	0	0	373.35900878906	389.00000000000	1	1	3.2805	188.4270	29.3983	186.5760	-0.9398	61.54370000000
4	104.0200	43.2600	1703	1685	-21.1000	-17.7000	-10.3000	-1.7000	6.0000	11.6000	14.0000	12.4000	6.0000	-2.4000	-11.7000	-18.6000	-7.8000	-4.0000	3.5000	12.6000	20.3000	25.3000	26.7000	25.1000	19.2000	11.2000	1.2000	-5.9000	1	2	3	6	11	21	34	33	13	4	2	1	131	14	1	7	1	0	5	2	0	2	1	4	0	3	4	1	1	0	0	0	252.49699401855	247.00000000000	1	1	0.8283	202.5740	7.6755	198.8380	-0.7942	42.37840000000
5	103.1902	43.6742	2377	2199	-23.0000	-20.3000	-13.8000	-5.6000	2.1000	8.1000	10.2000	8.7000	2.3000	-5.8000	-14.7000	-20.7000	-9.9000	-6.6000	-0.2000	8.3000	15.9000	21.2000	22.4000	20.9000	15.2000	7.3000	-1.9000	-8.1000	1	2	5	9	16	29	50	47	18	6	3	1	187	28	2	13	2	0	13	3	3	4	5	3	0	4	5	1	1	0	0	0	363.18200683594	325.00000000000	1	7	9.1133	186.2810	50.7287	180.3520	-0.9584	64.52920000000
6	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	6	0	2	0	0	1	2	0	0	0	4	0	5	6	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
7	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	8	0	5	0	0	3	0	0	0	0	4	0	6	7	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
8	103.1300	43.5100	1493	1527	-20.4000	-17.4000	-9.8000	-1.1000	6.8000	12.6000	14.8000	13.2000	6.5000	-2.0000	-11.2000	-18.0000	-6.8000	-2.9000	4.7000	13.8000	21.7000	26.8000	28.1000	26.4000	20.5000	12.2000	2.0000	-5.1000	1	1	3	5	10	17	27	28	11	4	2	1	110	10	0	6	0	0	5	0	0	1	1	2	0	7	8	1	1	0	0	0	374.82800292969	306.00000000000	1	4	1.4380	14.5345	14.0398	14.9536	0.6848	64.10800000000
9	104.0575	43.4982	2429	2463	-23.5000	-20.6000	-13.9000	-5.7000	2.0000	7.8000	10.1000	8.6000	2.3000	-5.8000	-14.9000	-21.1000	-10.6000	-7.3000	-0.6000	7.8000	15.5000	20.6000	22.0000	20.5000	14.7000	6.9000	-2.4000	-8.7000	1	2	5	8	17	30	51	47	19	6	3	1	190	19	0	10	0	0	8	0	2	5	1	2	0	8	9	1	1	0	0	0	471.00100708008	415.00000000000	1	4	5.3976	188.4900	46.8462	192.1000	-0.4465	75.05400000000
10	103.2542	43.8383	2220	2361	-22.8000	-20.1000	-13.3000	-5.0000	2.8000	8.8000	10.9000	9.3000	2.9000	-5.3000	-14.2000	-20.5000	-9.6000	-6.2000	0.4000	9.0000	16.8000	22.0000	23.2000	21.7000	15.9000	8.0000	-1.4000	-7.8000	1	2	4	8	15	28	47	45	17	6	3	1	177	20	0	10	0	0	9	3	1	3	3	3	0	9	10	1	1	0	0	0	419.28201293945	331.00000000000	1	4	4.9001	206.8340	50.8243	197.9480	-0.0277	71.41930000000
