"carat";"color";"x";"y";"z";"price"
0,23;"E";3,95;3,98;2,43;326
0,21;"E";3,89;3,84;2,31;326
0,23;"E";4,05;4,07;2,31;327
0,22;"E";3,87;3,78;2,49;337
0,22;"F";3,88;3,84;2,33;342
0,2;"E";3,79;3,75;2,27;345
0,32;"E";4,38;4,42;2,68;345
0,23;"E";3,85;3,92;2,48;352
0,23;"D";3,96;3,97;2,4;357
0,23;"F";3,96;3,99;2,42;357
0,23;"F";4;4,03;2,41;402
0,23;"F";4,04;4,06;2,42;402
0,23;"E";3,97;4,01;2,42;402
0,23;"E";4,01;4,06;2,4;402
0,23;"D";3,92;3,96;2,44;402
0,23;"F";4,06;4,08;2,37;402
0,23;"E";3,83;3,85;2,46;402
0,26;"D";4,13;4,16;2,52;403
0,26;"D";3,99;4,02;2,61;403
0,26;"D";4,19;4,24;2,46;403
0,29;"F";4,24;4,26;2,65;403
0,25;"E";4;4,03;2,54;404
0,24;"F";4,02;4,03;2,45;404
0,22;"E";3,93;3,89;2,41;404
0,22;"D";3,91;3,88;2,31;404
0,3;"D";4,23;4,27;2,66;552
0,3;"D";4,29;4,32;2,69;552
0,3;"D";4,3;4,33;2,68;552
0,24;"E";4,01;4,03;2,44;553
0,24;"D";3,97;4;2,45;553
0,26;"F";4,19;4,22;2,49;554
0,26;"E";4,15;4,23;2,51;554
0,26;"D";4,08;4,13;2,56;554
0,26;"D";4,01;4,05;2,53;554
0,26;"E";4,06;4,09;2,55;554
0,26;"E";4;4,04;2,55;554
0,26;"D";4,03;4,12;2,53;554
0,26;"E";4,02;4,06;2,54;554
0,26;"E";4,22;4,25;2,45;554
0,7;"E";5,7;5,72;3,57;2757
0,86;"E";6,45;6,33;3,52;2757
0,71;"E";5,68;5,73;3,56;2759
0,7;"E";5,85;5,9;3,38;2759
0,7;"F";5,71;5,76;3,4;2759
0,96;"F";6,27;5,95;4,07;2759
0,73;"E";5,77;5,78;3,56;2760
0,75;"D";5,8;5,75;3,65;2760
0,75;"E";6;5,96;3,58;2760
0,81;"F";6,14;6,11;3,6;2761
0,59;"E";5,38;5,43;3,35;2761
0,8;"F";5,96;6;3,67;2761
0,74;"E";5,8;5,84;3,62;2761
0,73;"F";5,77;5,74;3,6;2762
0,73;"F";5,8;5,75;3,62;2762
0,8;"F";5,98;5,94;3,68;2762
0,7;"E";5,73;5,76;3,49;2762
0,8;"F";6,01;6,07;3,62;2762
0,71;"D";5,73;5,69;3,56;2762
0,74;"E";5,8;5,83;3,62;2762
0,7;"F";5,64;5,61;3,47;2762
0,7;"F";5,57;5,53;3,58;2762
0,7;"F";5,63;5,58;3,66;2762
0,7;"F";5,65;5,59;3,46;2762
0,61;"D";5,56;5,58;3,32;2763
0,71;"D";5,64;5,68;3,6;2764
0,71;"D";5,69;5,72;3,53;2764
0,7;"E";5,62;5,65;3,53;2765
0,63;"E";5,52;5,55;3,37;2765
0,71;"F";5,74;5,77;3,46;2765
0,71;"F";5,69;5,73;3,53;2765
0,7;"D";5,68;5,72;3,52;2767
0,7;"F";5,8;5,87;3,5;2767
0,71;"D";5,74;5,76;3,54;2767
0,73;"D";5,83;5,87;3,52;2768
0,7;"D";5,66;5,73;3,48;2768
0,7;"E";5,73;5,76;3,5;2768
0,71;"D";5,71;5,67;3,51;2768
0,71;"D";5,65;5,61;3,52;2770
0,76;"F";5,79;5,81;3,65;2770
0,76;"D";5,78;5,83;3,62;2770
0,71;"F";5,77;5,8;3,51;2770
0,73;"D";5,92;5,89;3,54;2770
0,73;"F";5,79;5,82;3,58;2771
0,79;"F";5,97;5,92;3,68;2771
0,8;"F";6,01;6,03;3,67;2772
0,58;"F";5,33;5,37;3,3;2772
0,71;"E";5,8;5,88;3,46;2772
0,75;"D";5,85;5,89;3,6;2773
0,7;"D";5,87;5,78;3,38;2773
0,6;"E";5,41;5,44;3,35;2774
0,7;"E";5,68;5,74;3,58;2774
